Platform,Instrument,Imagery_Layer,Imagery_Product_Name,Image_Resolution,Sensor_Resolution,Format,Projection
Multi-mission,GHRSST,"Sea Surface Temperature Anomalies (L4, MUR25)",GHRSST_L4_MUR25_Sea_Surface_Temperature_Anomalies,2km,0.25 degrees,png,"Geographic, Web Mercator"
,,"Population Density, 2000",GPW_Population_Density_2000,1km,png,"Geographic, Web Mercator",2000
,,"Population Density, 2005",GPW_Population_Density_2005,1km,png,"Geographic, Web Mercator",2005
,,"Population Density, 2010",GPW_Population_Density_2010,1km,png,"Geographic, Web Mercator",2010
,,"Population Density, 2015",GPW_Population_Density_2015,1km,png,"Geographic, Web Mercator",2015
,,"Population Density, 2020",GPW_Population_Density_2020,1km,png,"Geographic, Web Mercator",2020
,,Estimated Net Migration by Decade: 1970-1980,Estimated_Net_Migration_1970-1980,1km,png,"Geographic, Web Mercator",1970-1980
,,Estimated Net Migration by Decade: 1980-1990,Estimated_Net_Migration_1980-1990,1km,png,"Geographic, Web Mercator",1980-1990
,,Estimated Net Migration by Decade: 1990-2000,Estimated_Net_Migration_1990-2000,1km,png,"Geographic, Web Mercator",1990-2000
,,Probabilities of Urban Expansion to 2030,Probabilities_of_Urban_Expansion_2000-2030,1km,png,"Geographic, Web Mercator",to 2030
,,Urban Extents,GRUMP_Urban_Extents_Grid_1995,1km,png,"Geographic, Web Mercator",1995
,,Urban-Rural Extents Below 10m Elevation,LECZ_Urban_Rural_Extents_Below_10m,1km,png,"Geographic, Web Mercator",
,,Human Footprint,Human_Footprint_1995-2004,1km,png,"Geographic, Web Mercator",1995-2004
,,Cyclone Hazard: Frequency and Distribution, NDH_Cyclone_Hazard_Frequency_Distribution_1980-2000 ,1km,png,"Geographic, Web Mercator",1980-2000
,,Cyclone Hazard: Mortality Risk,NDH_Cyclone_Mortality_Risks_Distribution_2000,1km,png,"Geographic, Web Mercator",2000
,,Cyclone Hazard: Economic Risk,NDH_Cyclone_Proportional_Economic_Loss_Risk_Deciles_2000,1km,png,"Geographic, Web Mercator",2000
,,Drought Hazard: Frequency and Distribution,NDH_Drought_Hazard_Frequency_Distribution_1980-2000,1km,png,"Geographic, Web Mercator",1980-2000
,,Drought Hazard: Mortality Risk,NDH_Drought_Mortality_Risks_Distribution_2000,1km,png,"Geographic, Web Mercator",2000
,,Drought Hazard: Economic Risk,NDH_Drought_Proportional_Economic_Loss_Risk_Deciles_2000,1km,png,"Geographic, Web Mercator",2000
,,Flood Hazard: Frequency and Distribution,NDH_Flood_Hazard_Frequency_Distribution_1985-2003,1km,png,"Geographic, Web Mercator",1985-2003
,,Flood Hazard: Mortality Risk,NDH_Flood_Mortality_Risks_Distribution_2000,1km,png,"Geographic, Web Mercator",2000
,,Flood Hazard: Economic Risk,NDH_Flood_Proportional_Economic_Loss_Risk_Deciles_2000,1km,png,"Geographic, Web Mercator",2000
,,Volcano Hazard: Frequency and Distribution,NDH_Volcano_Hazard_Frequency_Distribution_1979-2000,1km,png,"Geographic, Web Mercator",1979-2000
,,Volcano Hazard: Mortality Risk,NDH_Volcano_Mortality_Risks_Distribution_2000,1km,png,"Geographic, Web Mercator",2000
,,Volcano Hazard: Economic Risk,NDH_Volcano_Proportional_Economic_Loss_Risk_Deciles_2000,1km,png,"Geographic, Web Mercator",2000
,,Landslide Hazard,NDH_Landslide_Hazard_Distribution_2000,1km,png,"Geographic, Web Mercator",2000
,,Human Built-up and Settlement Extent,Landsat_Human_Built-up_And_Settlement_Extent,31.25m,png,"Geographic, Web Mercator",2010
,,Impervious Surface Percentage,Landsat_Global_Man-made_Impervious_Surface,31.25m,png,"Geographic, Web Mercator",2010
SMAP,Radiometer,"Faraday Rotation Angle (L1, Passive, Aft)   ",SMAP_L1_Passive_Faraday_Rotation_Aft,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radiometer,"Faraday Rotation Angle (L1, Passive, Fore)    ",SMAP_L1_Passive_Faraday_Rotation_Fore ,2km,36km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 (L3, Active, HH Polarization)   ",SMAP_L3_Active_Sigma0_HH,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 (L3, Active, VV Polarization)    ",SMAP_L3_Active_Sigma0_VV ,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 (L3, Active, XPOL Polarization)    ",SMAP_L3_Active_Sigma0_XPOL ,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 RFI (L3, Active, HH Polarization)    ",SMAP_L3_Active_Sigma0_HH_RFI ,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 RFI (L3, Active, VV Polarization)    ",SMAP_L3_Active_Sigma0_VV_RFI ,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 RFI (L3, Active, XPOL Polarization)    ",SMAP_L3_Active_Sigma0_XPOL_RFI ,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 QA (L3, Active, HH Polarization)    ",SMAP_L3_Active_Sigma0_HH_QA ,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 QA (L3, Active, VV Polarization)    ",SMAP_L3_Active_Sigma0_VV_QA ,2km,3km,png,"Geographic, Web Mercator"
SMAP,Radar,"Sigma0 QA (L3, Active, XPOL Polarization)    ",SMAP_L3_Active_Sigma0_XPOL_QA ,2km,3km,png,"Geographic, Web Mercator"
Aqua,AIRS,"Outgoing Longwave Radiation (L3, Day, Daily)",AIRS_L3_All_Sky_Outgoing_Longwave_Radiation_Daily_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Outgoing Longwave Radiation (L3, Night, Daily)",AIRS_L3_All_Sky_Outgoing_Longwave_Radiation_Daily_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Outgoing Longwave Radiation (L3, Day, Monthly)",AIRS_L3_All_Sky_Outgoing_Longwave_Radiation_Monthly_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Outgoing Longwave Radiation (L3, Night, Monthly)",AIRS_L3_All_Sky_Outgoing_Longwave_Radiation_Monthly_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Clear Sky Outgoing Longwave Radiation (L3, Day, Daily)",AIRS_L3_Clear_Sky_Outgoing_Longwave_Radiation_Daily_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Clear Sky Outgoing Longwave Radiation (L3, Night, Daily)",AIRS_L3_Clear_Sky_Outgoing_Longwave_Radiation_Daily_Night,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Clear Sky Outgoing Longwave Radiation (L3, Day, Monthly)",AIRS_L3_Clear_Sky_Outgoing_Longwave_Radiation_Monthly_Day,2km,,png,"Geographic, Web Mercator"
Aqua,AIRS,"Clear Sky Outgoing Longwave Radiation (L3, Night, Monthly)",AIRS_L3_Clear_Sky_Outgoing_Longwave_Radiation_Monthly_Night,2km,,png,"Geographic, Web Mercator"
,,Land Water Map (Open Street Map)    ,OSM_Land_Water_Map  ,250m,,png,"Geographic, Polar"
,,Land Mask (Open Street Map)    ,OSM_Land_Mask,250m,,png,"Geographic, Arctic"
,,Land Mask (Scientific Committee on Antarctic Research)   ,SCAR_Land_Mask,250m,,png,Antarctic
MODIS,Terra,Data-No Data Mask   ,MODIS_Terra_Data_No_Data,250m,250m,png,"Geographic, Web Mercator"
MODIS,Aqua,Data-No Data Mask   ,MODIS_Aqua_Data_No_Data,250m,250m,png,"Geographic, Web Mercator"
MODIS,Terra and SRTM,Water Mask [5]   ,MODIS_Water_Mask,250m,250m,png,"Geographic, Web Mercator"
MODIS,Terra,"Land/Water Mask (L3, Annual)",MODIS_Terra_L3_Land_Water_Mask,250m,250m,png,"Geographic, Web Mercator"
,,Graticule   ,Graticule,250m,,png,Polar
,,Coastlines [6]    ,Coastlines,250m,,png,"Geographic, Web Mercator, Polar"
,,Coastlines / Borders / Roads  [6] ,Reference_Features,250m,,png,Geographic
,,Place Labels  [6] ,Reference_Labels,250m,,png,"Geographic, Polar"
MODIS,Terra,Blue Marble [7]   ,BlueMarble_NextGeneration,500m,500m,jpeg,"Geographic, Polar, Web Mercator"
MODIS,Terra,Blue Marble with Shaded Relief  [7]   ,BlueMarble_ShadedRelief,500m,500m,jpeg,"Geographic, Polar, Web Mercator"
MODIS,Terra,Blue Marble with Shaded Relief and Bathymetry [7]      ,BlueMarble_ShadedRelief_Bathymetry,500m,500m,jpeg,"Geographic, Polar, Web Mercator"
ASTER,Terra,Global Digital Elevation Model (GDEM) Greyscale Shaded Relief  ,ASTER_GDEM_Greyscale_Shaded_Relief,31.25m,30m,png,Geographic
